id;uuid;name;enabled;parent_category_id;mcc;icon_url;default_order_id;regions;tags;added_date;updated_date
1;32775c3f-2f3c-4d1d-a6d0-6902eedde862;Nevada enterprise Belarussian Ruble;false;3dd2982e-5568-4302-839e-0f6846f83b59;Czech Koruna;New Mexico North Carolina;3597;HDD;pink Investor;2021-03-23T23:31:20;2021-03-23T09:35:27
2;3415ee3f-4c11-491a-8ee4-f985d8e6a746;Open-source Avon invoice;true;8fad4080-f13e-475b-ab09-511d04e5b938;Chief Czech Koruna;Pitcairn Islands Direct;95453;Shirt uniform;Sleek Egypt;2021-03-23T11:23:24;2021-03-23T06:38:58
3;7e4a0548-fe3b-4e90-8042-ae699bc0e7c3;e-tailers;true;f17a5527-8d1d-42bf-bfce-d8b1a11f5be9;mint green silver Games;Personal Loan Account input Personal Loan Account;12702;circuit Electronics asymmetric;monetize Incredible Metal Cheese Wooden;2021-03-23T05:31:59;2021-03-23T16:10:58
4;1e27b779-c26b-4600-966f-63fbea1c4da4;Home Loan Account Ukraine;false;e11340b8-cc31-4c2b-99ee-33bc9f84769d;Incredible Frozen Shoes;Web synergistic;50679;deposit;analyzing Architect SAS;2021-03-24T02:37:06;2021-03-24T02:22:16
5;5f83a158-53b0-493c-8ab1-a606ec976db7;Product radical;true;3224afe2-95e9-47e7-a2a2-fa07050b5374;Auto Loan Account Valley bottom-line;panel;79626;streamline;National synthesize Keyboard;2021-03-23T22:23:47;2021-03-23T14:33:44
6;1030a201-12c8-420c-a2a6-ddb610991a3b;help-desk South Carolina knowledge base;false;32cdc76f-2aa3-4d23-8b67-b113cf0a3a43;Florida;Avon;250;virtual;program;2021-03-24T03:21:50;2021-03-23T23:29:29
7;30245be9-8aa2-430f-9372-2d818820fa20;Tanzanian Shilling;false;f8f2f104-381c-416e-a89d-0fb7defe8dae;index;driver;77193;Oman;digital HTTP;2021-03-23T21:23:45;2021-03-23T05:15:56
8;db661587-f52d-482e-b5fd-d8d1934e12ad;Colorado;false;870dd599-d38d-4c06-bbcb-ccbc1634ad49;Customer Hills feed;backing up wireless Shoes;18099;instruction set;overriding yellow;2021-03-23T06:29:22;2021-03-23T08:05:26
9;b3985ecb-e736-4cdb-8e1c-1f4457ed94c1;monitor;true;f3d88815-9cb8-4877-aa82-0701c8d7b2ed;methodology optical;Money Market Account Corporate;92898;Agent;Computers Plastic bandwidth-monitored;2021-03-23T05:58:32;2021-03-23T19:36:53
10;df6229d2-11c8-4517-b2eb-452c4913ab28;Plastic IB;true;c6e0da2b-91a6-422e-b0e5-fcf5c2e648ce;bypass transform;Personal Loan Account;78889;Home Loan Account;Fantastic Cotton Car;2021-03-23T20:59:37;2021-03-23T10:50:13
